locs,techs,timesteps,required_resource
DRC_S,final_demand,2040-01-16 04:00:00,-1830133.825
DRC_S,final_demand,2040-01-16 05:00:00,-1837218.214
DRC_S,final_demand,2040-01-16 06:00:00,-1764012.861
DRC_S,final_demand,2040-01-16 07:00:00,-1832495.288
DRC_S,final_demand,2040-01-16 08:00:00,-1863194.307
DRC_S,final_demand,2040-01-16 09:00:00,-1893893.326
DRC_S,final_demand,2040-01-16 10:00:00,-1917507.956
DRC_S,final_demand,2040-01-16 11:00:00,-1955291.364
DRC_S,final_demand,2040-01-16 12:00:00,-2009605.013
DRC_S,final_demand,2040-01-16 13:00:00,-2033219.643
DRC_S,final_demand,2040-01-16 14:00:00,-2033219.643
DRC_S,final_demand,2040-01-16 15:00:00,-2056834.273
DRC_S,final_demand,2040-01-16 16:00:00,-2035581.106
DRC_S,final_demand,2040-01-16 17:00:00,-2089894.755
DRC_S,final_demand,2040-01-16 18:00:00,-2323679.592
DRC_S,final_demand,2040-01-16 19:00:00,-2340209.833
DRC_S,final_demand,2040-01-16 20:00:00,-2300064.962
DRC_S,final_demand,2040-01-16 21:00:00,-2219775.22
DRC_S,final_demand,2040-01-16 22:00:00,-2108786.459
DRC_S,final_demand,2040-01-16 23:00:00,-2011966.476
DRC_S,final_demand,2040-01-17 00:00:00,-1922230.882
DRC_S,final_demand,2040-01-17 01:00:00,-1882086.011
DRC_S,final_demand,2040-01-17 02:00:00,-1846664.066
DRC_S,final_demand,2040-01-17 03:00:00,-1825410.899
DRC_S,final_demand,2040-01-17 04:00:00,-1851386.992
DRC_S,final_demand,2040-01-17 05:00:00,-1851386.992
DRC_S,final_demand,2040-01-17 06:00:00,-1771097.25
DRC_S,final_demand,2040-01-17 07:00:00,-1837218.214
DRC_S,final_demand,2040-01-17 08:00:00,-1867917.233
DRC_S,final_demand,2040-01-17 09:00:00,-1872640.159
DRC_S,final_demand,2040-01-17 10:00:00,-1875001.622
DRC_S,final_demand,2040-01-17 11:00:00,-1896254.789
DRC_S,final_demand,2040-01-17 12:00:00,-1922230.882
DRC_S,final_demand,2040-01-17 13:00:00,-1976544.531
DRC_S,final_demand,2040-01-17 14:00:00,-1997797.698
DRC_S,final_demand,2040-01-17 15:00:00,-2030858.18
DRC_S,final_demand,2040-01-17 16:00:00,-2014327.939
